City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
187,rikaze,29.25,88.8833,278.25,11,0,0.61,CN,1699846934
188,keflavik,64.0049,-22.5624,277.1,70,0,8.23,IS,1699846934
189,freetown,8.484,-13.2299,300.99,83,40,2.06,SL,1699846935
190,westport,41.1415,-73.3579,275.55,70,0,2.57,US,1699846935
191,aasiaat,68.7098,-52.8699,258.7,87,18,1.94,GL,1699846935
192,isafjordur,66.0755,-23.124,274.43,84,100,2.4,IS,1699846936
193,lisakovsk,52.5369,62.4936,276.17,90,71,3.33,KZ,1699846936
194,ichnya,50.8626,32.3942,279.1,83,100,7.09,UA,1699846936
195,geraldton,-28.7667,114.6,300.38,47,0,5.66,AU,1699846749
196,zouerate,22.7187,-12.4521,294.12,14,5,2.93,MR,1699846936
197,tura,25.5198,90.2201,299.06,56,0,0.6,IN,1699846750
198,forster,-32.1667,152.5167,296.69,68,74,5.67,AU,1699846937
199,villanueva,15.3167,-88.0,298.17,100,75,2.06,HN,1699846937
200,namie,37.4833,141.0,282.99,71,100,4.74,JP,1699846937
201,papao,-17.75,-149.55,297.97,80,54,1.24,PF,1699846937
202,enewetak,11.3474,162.3373,300.78,81,100,6.93,MH,1699846937
203,hoopeston,40.4673,-87.6684,280.37,49,0,3.92,US,1699846937
204,shuangjiang,26.1547,109.7138,278.02,91,100,2.24,CN,1699846938
205,tralee,52.2704,-9.7026,282.58,88,86,14.96,IE,1699846938
206,novospasskoye,53.1468,47.7514,281.7,88,100,8.07,RU,1699846938
207,pimentel,-6.8367,-79.9342,294.31,73,0,7.72,PE,1699846938
208,valle de la pascua,9.2155,-66.0073,297.57,83,93,3.35,VE,1699846938
209,canutama,-6.5339,-64.3831,298.15,77,48,0.78,BR,1699846938
210,yorkton,51.2167,-102.4677,274.06,86,75,6.17,CA,1699846938
211,altay,47.8667,88.1167,273.41,87,100,0.4,CN,1699846939
212,monte patria,-30.6919,-70.9467,289.11,53,3,0.9,CL,1699846939
213,san luis de la loma,17.2706,-100.8939,299.8,84,52,2.33,MX,1699846939
214,richards bay,-28.783,32.0377,292.18,81,98,2.84,ZA,1699846939
215,kertih,4.5141,103.4483,305.16,70,20,1.03,MY,1699846939
216,wad rawah,15.1603,33.1397,302.63,31,40,3.85,SD,1699846939
217,st. john's,47.5649,-52.7093,271.92,81,100,5.14,CA,1699846940
218,galesong,-5.3166,119.3661,306.16,59,60,4.3,ID,1699846940
219,carnarvon,-24.8667,113.6333,296.91,62,28,5.31,AU,1699846940
220,east ballina,-28.8667,153.5833,297.48,73,72,6.02,AU,1699846940
221,uturoa,-16.7333,-151.4333,300.69,76,67,1.92,PF,1699846941
222,khorixas,-20.3667,14.9667,294.87,19,7,0.32,NA,1699846941
223,vernon,50.2581,-119.2691,280.24,71,100,1.03,CA,1699846941
224,cidreira,-30.1811,-50.2056,293.83,98,100,7.13,BR,1699846753
